NOME_SALA,REGISTRO_SALA,CNPJ_SALA,SITUACAO_SALA,DATA_SITUACAO_SALA,DATA_INICIO_FUNCIONAMENTO_SALA,ASSENTOS_SALA,ASSENTOS_CADEIRANTES,ASSENTOS_MOBILIDADE_REDUZIDA,ASSENTOS_OBESIDADE,ACESSO_ASSENTOS_COM_RAMPA,ACESSO_SALA_COM_RAMPA,BANHEIROS_ACESSIVEIS,NOME_COMPLEXO,REGISTRO_COMPLEXO,SITUACAO_COMPLEXO,DATA_SITUACAO_COMPLEXO,PAGINA_ELETRONICA_COMPLEXO,ENDERECO_COMPLEXO,NUMERO_ENDERECO_COMPLEXO,COMPLEMENTO_COMPLEXO,BAIRRO_COMPLEXO,MUNICIPIO_COMPLEXO,CEP_COMPLEXO,UF_COMPLEXO,COMPLEXO_ITINERANTE,OPERACAO_USUAL,NOME_EXIBIDOR,REGISTRO_EXIBIDOR,CNPJ_EXIBIDOR,SITUACAO_EXIBIDOR,NOME_GRUPO_EXIBIDOR,Código Município Completo
PATIO UBERLANDIA 4,5003550.0,00.779.721/0055-34,EM FUNCIONAMENTO,27/11/2021,30/03/2012,246.0,5.0,3.0,3.0,SIM,NÃO,SIM,2101 CINEMARK SHOPPING UBERLÂNDIA,21561.0,EM FUNCIONAMENTO,27/11/2021,www.cinemark.com.br,AVENIDA PAULO GRACINDO,15.0,,MORADA DA COLINA,UBERLANDIA,38411-145,MG,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
PATIO UBERLANDIA 5,5003551.0,00.779.721/0055-34,EM FUNCIONAMENTO,27/11/2021,30/03/2012,299.0,6.0,3.0,3.0,SIM,NÃO,SIM,2101 CINEMARK SHOPPING UBERLÂNDIA,21561.0,EM FUNCIONAMENTO,27/11/2021,www.cinemark.com.br,AVENIDA PAULO GRACINDO,15.0,,MORADA DA COLINA,UBERLANDIA,38411-145,MG,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK WEST PLAZA SALA 01,5005798.0,00.779.721/0075-88,EM FUNCIONAMENTO,24/04/2021,15/06/2017,116.0,5.0,2.0,4.0,SIM,NÃO,SIM,2102 CINEMARK WEST PLAZA,36652.0,EM FUNCIONAMENTO,24/04/2021,,AVENIDA ANTARTICA,408.0,BLOCO B,AGUA BRANCA,SAO PAULO,05003-020,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK WEST PLAZA SALA 02,5005799.0,00.779.721/0075-88,EM FUNCIONAMENTO,24/04/2021,15/06/2017,116.0,5.0,2.0,4.0,SIM,NÃO,SIM,2102 CINEMARK WEST PLAZA,36652.0,EM FUNCIONAMENTO,24/04/2021,,AVENIDA ANTARTICA,408.0,BLOCO B,AGUA BRANCA,SAO PAULO,05003-020,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK WEST PLAZA SALA 03,5005800.0,00.779.721/0075-88,EM FUNCIONAMENTO,24/04/2021,15/06/2017,135.0,4.0,1.0,2.0,SIM,NÃO,SIM,2102 CINEMARK WEST PLAZA,36652.0,EM FUNCIONAMENTO,24/04/2021,,AVENIDA ANTARTICA,408.0,BLOCO B,AGUA BRANCA,SAO PAULO,05003-020,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK WEST PLAZA SALA 04,5005801.0,00.779.721/0075-88,EM FUNCIONAMENTO,24/04/2021,15/06/2017,135.0,4.0,1.0,2.0,SIM,NÃO,SIM,2102 CINEMARK WEST PLAZA,36652.0,EM FUNCIONAMENTO,24/04/2021,,AVENIDA ANTARTICA,408.0,BLOCO B,AGUA BRANCA,SAO PAULO,05003-020,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK WEST PLAZA SALA 05,5005802.0,00.779.721/0075-88,EM FUNCIONAMENTO,24/04/2021,15/06/2017,203.0,5.0,2.0,3.0,SIM,NÃO,SIM,2102 CINEMARK WEST PLAZA,36652.0,EM FUNCIONAMENTO,24/04/2021,,AVENIDA ANTARTICA,408.0,BLOCO B,AGUA BRANCA,SAO PAULO,05003-020,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK WEST PLAZA SALA 06,5005803.0,00.779.721/0075-88,EM FUNCIONAMENTO,24/04/2021,15/06/2017,218.0,5.0,2.0,3.0,SIM,NÃO,SIM,2102 CINEMARK WEST PLAZA,36652.0,EM FUNCIONAMENTO,24/04/2021,,AVENIDA ANTARTICA,408.0,BLOCO B,AGUA BRANCA,SAO PAULO,05003-020,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK WEST PLAZA SALA 07,5005804.0,00.779.721/0075-88,EM FUNCIONAMENTO,24/04/2021,15/06/2017,305.0,7.0,3.0,3.0,SIM,NÃO,SIM,2102 CINEMARK WEST PLAZA,36652.0,EM FUNCIONAMENTO,24/04/2021,,AVENIDA ANTARTICA,408.0,BLOCO B,AGUA BRANCA,SAO PAULO,05003-020,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK MOOCA PLAZA SHOPPING 01,5003426.0,00.779.721/0053-72,EM FUNCIONAMENTO,24/04/2021,29/11/2011,369.0,6.0,4.0,4.0,SIM,NÃO,SIM,2103 CINEMARK MOOCA PLAZA SHOPPING,20598.0,EM FUNCIONAMENTO,24/04/2021,,RUA CAPITÃO PACHECO E CHAVES,313.0,LJ 2026 - PAV 2,VILA PRUDENTE,SAO PAULO,03126-000,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK MOOCA PLAZA SHOPPING 02,5003427.0,00.779.721/0053-72,EM FUNCIONAMENTO,24/04/2021,29/11/2011,162.0,3.0,1.0,2.0,SIM,NÃO,SIM,2103 CINEMARK MOOCA PLAZA SHOPPING,20598.0,EM FUNCIONAMENTO,24/04/2021,,RUA CAPITÃO PACHECO E CHAVES,313.0,LJ 2026 - PAV 2,VILA PRUDENTE,SAO PAULO,03126-000,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK MOOCA PLAZA SHOPPING 03,5003428.0,00.779.721/0053-72,EM FUNCIONAMENTO,24/04/2021,29/11/2011,258.0,5.0,3.0,3.0,SIM,NÃO,SIM,2103 CINEMARK MOOCA PLAZA SHOPPING,20598.0,EM FUNCIONAMENTO,24/04/2021,,RUA CAPITÃO PACHECO E CHAVES,313.0,LJ 2026 - PAV 2,VILA PRUDENTE,SAO PAULO,03126-000,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK MOOCA PLAZA SHOPPING 04,5003429.0,00.779.721/0053-72,EM FUNCIONAMENTO,24/04/2021,29/11/2011,176.0,4.0,1.0,2.0,SIM,NÃO,SIM,2103 CINEMARK MOOCA PLAZA SHOPPING,20598.0,EM FUNCIONAMENTO,24/04/2021,,RUA CAPITÃO PACHECO E CHAVES,313.0,LJ 2026 - PAV 2,VILA PRUDENTE,SAO PAULO,03126-000,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK MOOCA PLAZA SHOPPING 05,5003430.0,00.779.721/0053-72,EM FUNCIONAMENTO,24/04/2021,29/11/2011,176.0,4.0,1.0,2.0,SIM,NÃO,SIM,2103 CINEMARK MOOCA PLAZA SHOPPING,20598.0,EM FUNCIONAMENTO,24/04/2021,,RUA CAPITÃO PACHECO E CHAVES,313.0,LJ 2026 - PAV 2,VILA PRUDENTE,SAO PAULO,03126-000,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
CINEMARK MOOCA PLAZA SHOPPING 06,5003431.0,00.779.721/0053-72,EM FUNCIONAMENTO,24/04/2021,29/11/2011,176.0,4.0,1.0,2.0,SIM,NÃO,SIM,2103 CINEMARK MOOCA PLAZA SHOPPING,20598.0,EM FUNCIONAMENTO,24/04/2021,,RUA CAPITÃO PACHECO E CHAVES,313.0,LJ 2026 - PAV 2,VILA PRUDENTE,SAO PAULO,03126-000,SP,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,
SALA 01,5004261.0,00.779.721/0060-00,EM FUNCIONAMENTO,06/08/2021,22/06/2013,205.0,4.0,,,SIM,NÃO,SIM,2104 CINEMARK BOULEVARD LONDRINA,24767.0,EM FUNCIONAMENTO,06/08/2021,,AV. THEODORO VICTORELLI,150.0,,INTERLAGOS,LONDRINA,86027-750,PR,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,4113700.0
SALA 02,5004262.0,00.779.721/0060-00,EM FUNCIONAMENTO,06/08/2021,22/06/2013,192.0,4.0,,,SIM,NÃO,SIM,2104 CINEMARK BOULEVARD LONDRINA,24767.0,EM FUNCIONAMENTO,06/08/2021,,AV. THEODORO VICTORELLI,150.0,,INTERLAGOS,LONDRINA,86027-750,PR,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,4113700.0
SALA 04,5004264.0,00.779.721/0060-00,EM FUNCIONAMENTO,06/08/2021,22/06/2013,268.0,4.0,,,SIM,NÃO,SIM,2104 CINEMARK BOULEVARD LONDRINA,24767.0,EM FUNCIONAMENTO,06/08/2021,,AV. THEODORO VICTORELLI,150.0,,INTERLAGOS,LONDRINA,86027-750,PR,NÃO,COMERCIAL,CINEMARK BRASIL S.A,1843.0,00.779.721/0001-41,REGULAR,CINEMARK,4113700.0
